instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_161532.mp4,37,74.0,26.24,26.35,0.11000000000000298,2624.0,2635.0,0.8990148305892944,0.11767082313174439,"[[923.6666666666666, 277.0], [1061.5833333333335, 274.0]]"
instruments/recorder/20220416_161532.mp4,40,76.0,28.35,32.67,4.32,2835.0,3267.0,0.9349021315574646,0.06954347903525578,"[[927.4166666666667, 275.5], [1066.75, 271.5]]"
instruments/recorder/20220416_161532.mp4,41,77.0,34.32,39.31,4.990000000000002,3432.0,3931.0,0.9390040040016174,0.046773516149936814,"[[930.0, 273.8333333333333], [1068.6666666666667, 269.1666666666667]]"
instruments/recorder/20220416_161532.mp4,46,79.0,49.96,54.09,4.130000000000003,4996.0,5409.0,0.9489051699638367,0.0948821973010422,"[[933.25, 272.58333333333337], [1069.5, 268.8333333333333]]"
instruments/recorder/20220416_161532.mp4,47,80.0,55.18,59.45,4.270000000000003,5518.0,5945.0,0.9438827633857727,0.13554627729703225,"[[922.1666666666666, 282.8333333333333], [1062.0, 279.5]]"
instruments/recorder/20220416_161532.mp4,48,81.0,61.29,65.39,4.100000000000001,6129.0,6539.0,0.9641181826591492,0.07469757457409607,"[[916.9166666666667, 284.5], [1055.1666666666667, 280.1666666666667]]"
instruments/recorder/20220416_161532.mp4,51,82.0,68.05,71.8,3.75,6805.0,7180.0,0.9682312607765198,0.029368341864713144,"[[914.5, 293.1666666666667], [1052.1666666666667, 286.3333333333333]]"
instruments/recorder/20220416_161532.mp4,52,83.0,73.93,78.7,4.769999999999996,7393.0,7870.0,0.9209600687026978,0.08528973530476408,"[[905.5833333333333, 320.75], [1040.1666666666667, 309.8333333333333]]"
instruments/recorder/20220416_161532.mp4,55,84.0,80.28,81.84,1.5600000000000023,8028.0,8184.0,0.9365228414535522,0.13115454773577634,"[[907.5, 320.1666666666667], [1043.8333333333333, 311.6666666666667]]"
instruments/recorder/20220417_151406.mp4,1,72.0,2.42,4.66,2.24,242.0,466.0,0.9526499509811401,0.04529917570349438,"[[898.6666666666666, 362.5], [1013.0, 362.0]]"
instruments/recorder/20220417_151406.mp4,6,72.0,10.6,12.99,2.3900000000000006,1060.0,1299.0,0.9537814259529114,0.035425615573012596,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,7,72.0,13.0,13.07,0.07000000000000028,1300.0,1307.0,0.9013031721115112,0.1532872615239543,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,10,73.0,17.96,18.08,0.11999999999999744,1796.0,1808.0,0.9069232940673828,0.2336148903654327,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,13,74.0,24.71,24.86,0.14999999999999858,2471.0,2486.0,0.9225760102272034,0.1532566825816438,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,15,74.0,26.6,29.81,3.2099999999999973,2660.0,2981.0,0.9733306765556335,0.07206467470130387,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,17,74.0,29.85,29.97,0.11999999999999744,2985.0,2997.0,0.9067821502685547,0.10304737650188397,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,22,75.0,36.19,36.26,0.07000000000000028,3619.0,3626.0,0.9043270945549011,0.06915866272596871,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,23,75.0,37.83,40.56,2.730000000000004,3783.0,4056.0,0.9149443507194519,0.22671680911093553,"[[860.1666666666666, 225.5], [1023.8333333333334, 274.5]]"
instruments/recorder/20220417_151406.mp4,25,75.0,40.64,40.72,0.0799999999999983,4064.0,4072.0,0.8766420483589172,0.030957883420381357,"[[856.1666666666666, 219.66666666666666], [1029.0, 269.6666666666667]]"
instruments/recorder/20220417_151406.mp4,29,76.0,46.87,47.29,0.4200000000000017,4687.0,4729.0,0.9484522938728333,0.03216359967285645,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,30,76.0,47.32,47.56,0.240000000000002,4732.0,4756.0,0.9487726092338562,0.025415747812536377,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,31,76.0,47.58,47.77,0.19000000000000483,4758.0,4777.0,0.9407093524932861,0.04743788532377654,"[[1006.25, 187.0], [1204.6666666666665, 222.66666666666669]]"
instruments/recorder/20220417_151406.mp4,32,76.0,47.79,48.07,0.28000000000000114,4779.0,4807.0,0.935285747051239,0.050070317598225236,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220417_151406.mp4,33,76.0,48.11,49.58,1.4699999999999989,4811.0,4958.0,0.9579441547393799,0.03656933944052926,"[[1002.9166666666667, 190.08333333333334], [1202.25, 226.0]]"
instruments/recorder/20220417_151406.mp4,35,77.0,50.41,54.14,3.730000000000004,5041.0,5414.0,0.9461984038352966,0.0526112882509048,"[[957.3333333333334, 184.5], [1158.1666666666667, 220.16666666666666]]"
instruments/recorder/20220417_151406.mp4,36,77.0,54.16,54.33,0.1700000000000017,5416.0,5433.0,0.887580394744873,0.09948733317578737,"[[952.9166666666667, 185.33333333333334], [1143.3333333333335, 217.25]]"
instruments/recorder/20220417_151406.mp4,39,78.0,56.12,60.14,4.020000000000003,5612.0,6014.0,0.9302687644958496,0.08857688911844369,"[[955.8333333333334, 188.75], [1155.1666666666667, 220.75]]"
